SiteID,WatershedC,dist_m,dist_m_wb,Latitude,Longitude,YearDeploy,Ecoregions,geometry
AGCA1,AGCA,111.50565911897458,456.19206714072357,37.50239,-121.89534,2021,Central CA Foothills,"c(-167312.239530717, -55464.3178789113)"
AGCA2,AGCA,31.305154765997028,366.7428086202,37.50606,-121.89375,2021,Central CA Foothills,"c(-167163.751510121, -55059.2300237268)"
ALBS1,ALBS,133.80225366294337,502.39896325731377,38.846813,-122.970375,2021,Central CA Foothills,"c(-257504.613646052, 96347.197754703)"
ALBS2,ALBS,73.75903478610236,416.0612132529907,38.847875,-122.972919,2021,Central CA Foothills,"c(-257721.382309523, 96472.0941494736)"
ALBS3,ALBS,0.13944641543679875,301.123380666856,38.850141,-122.974035,2021,Central CA Foothills,"c(-257810.196776999, 96726.8713886118)"
ALBS4,ALBS,42.65468619470138,164.2787780666009,38.850985,-122.971938,2021,Central CA Foothills,"c(-257625.533501367, 96814.9359320123)"
ARDH1,ARDH,11.329315637008113,429.3721068918747,37.95228,-122.14219,2021,Central CA Foothills,"c(-187969.638211565, -5000.50264120148)"
ARDH2,ARDH,249.06731417233195,1253.8473344673284,37.95961,-122.14066,2021,Central CA Foothills,"c(-187817.012104897, -4188.88988137478)"
ARDH3,ARDH,49.279634063206,631.0474848633686,37.95363,-122.13963,2021,Central CA Foothills,"c(-187741.658779124, -4855.5381238563)"
ARDH4,ARDH,126.79945613334479,53.31107661193707,37.94617,-122.14289,2021,Central CA Foothills,"c(-188046.401124616, -5678.17046579253)"
EDSA1,EDSA,38.85758920835844,124.13782798702863,38.26089,-122.74394,2021,Central CA Foothills,"c(-239765.189207019, 30652.6028271806)"
EDSA4,EDSA,13.525042654133589,136.48945269624366,38.25421,-122.74121,2021,Central CA Foothills,"c(-239548.175863773, 29903.434330604)"
KELS1,KELS,144.6058757118811,252.87885282246685,38.92423,-122.85902,2022,Central CA Foothills,"c(-247594.681192387, 104651.342625039)"
KELS2,KELS,92.98270404448463,207.10131438356828,38.92082,-122.86121,2022,Central CA Foothills,"c(-247795.716817817, 104278.222481503)"
KELS3,KELS,32.54519075980285,347.9162919367377,38.9188,-122.85628,2022,Central CA Foothills,"c(-247375.645402042, 104040.931348977)"
KELS4,KELS,23.50317056409078,630.3952641544994,38.9192,-122.8518,2022,Central CA Foothills,"c(-246986.423219614, 104073.690317575)"
LLSR1,LLSR,181.02292498857489,159.84425930375744,38.4244,-122.7826,2022,Central CA Foothills,"c(-242608.941174151, 48919.5146893412)"
LLSR2,LLSR,787.7175369550692,239.20233537310978,38.41906,-122.78929,2022,Central CA Foothills,"c(-243209.521317427, 48343.3075510389)"
LLSR3,LLSR,609.9787402018392,642.4126131783819,38.41988,-122.78215,2022,Central CA Foothills,"c(-242584.4601809, 48416.128400967)"
LLSR4,LLSR,734.463582752377,242.24276203981728,38.41879,-122.79613,2022,Central CA Foothills,"c(-243806.641022185, 48330.8748677601)"
LPEN1,LPEN,162.97397864021488,152.43011584759526,37.45975,-121.87176,2021,Central CA Foothills,"c(-165324.547863672, -60244.7924291869)"
LPEN2,LPEN,81.37682160628452,341.7073394491295,37.45707,-121.86929,2021,Central CA Foothills,"c(-165112.285166985, -60546.9582199119)"
MCFC1,MCFC,55.348190395233786,0,39.02304,-122.86105,2022,Central CA Foothills,"c(-247439.063472306, 115633.972707353)"
MCFC2,MCFC,158.11176412634052,0,39.02422,-122.86482,2022,Central CA Foothills,"c(-247761.051928652, 115774.908431945)"
MCFC3,MCFC,65.39151548016443,112.44829904437938,39.02464,-122.87199,2022,Central CA Foothills,"c(-248379.538806415, 115840.328104555)"
MCFC4,MCFC,101.46031080724798,214.5122855581963,39.02084,-122.8646,2022,Central CA Foothills,"c(-247753.380127125, 115398.838302665)"
MCPU1,MCPU,124.45488168500913,131.8962310162254,38.48864,-122.00855,2021,Central CA Foothills,"c(-174981.947741311, 54353.5944118458)"
MCPU2,MCPU,18.670339213466292,50.76028956924231,38.49,-122.02088,2021,Central CA Foothills,"c(-176052.734999037, 54527.5647487934)"
MCPU3,MCPU,38.50939053718033,4.420496610198333,38.48899,-122.01547,2021,Central CA Foothills,"c(-175583.890374736, 54405.2855616109)"
MCPU4,MCPU,66.56845189142221,47.262696723603185,38.48865,-122.01217,2021,Central CA Foothills,"c(-175297.245963172, 54361.3929846161)"
MOHO1,MOHO,111.43717780217632,179.26553729379722,37.70174,-121.61396,2021,Central CA Foothills,"c(-142098.631050452, -33766.3740890645)"
MOHO2,MOHO,11.908739442021396,232.48744966457843,37.69909,-121.61488,2021,Central CA Foothills,"c(-142184.640752195, -34059.5430453233)"
SALS2,SALS,65.61395860997393,303.9285387224873,36.9797,-121.73029,2022,Central CA Foothills,"c(-153804.374592091, -113835.29609824)"
SALS3,SALS,150.42684877597915,403.97738830347686,36.98156,-121.7284,2022,Central CA Foothills,"c(-153632.62347428, -113631.649611485)"
SATA2,SATA,74.80290849564076,1022.2419399111154,37.2686,-121.99202,2022,Central CA Foothills,"c(-176391.505988198, -81272.3576849168)"
SATA3,SATA,205.57765889170975,500.07330365070345,37.25883,-121.99481,2022,Central CA Foothills,"c(-176661.370453451, -82352.9615452429)"
SFSB1,SFSB,8.852974661228128,961.159350400371,37.78426,-122.14948,2021,Central CA Foothills,"c(-189032.634167749, -23659.4852847601)"
SFSB2,SFSB,75.3774947740212,696.2533379266857,37.78213,-122.14773,2021,Central CA Foothills,"c(-188884.12302922, -23899.6975746211)"
SHRU1,SHRU,107.49646255069972,187.72852619426845,39.2818,-123.18738,2021,Central CA Foothills,"c(-274685.113988086, 145276.119112388)"
SHRU2,SHRU,58.54264101767357,0,39.28287,-123.18439,2021,Central CA Foothills,"c(-274423.542626287, 145386.304850809)"
SHRU3,SHRU,190.03164731630972,215.4782522248163,39.28426,-123.18781,2021,Central CA Foothills,"c(-274712.96649337, 145550.595857703)"
SHRU4,SHRU,54.730851683498585,88.71731946213315,39.27936,-123.19065,2021,Central CA Foothills,"c(-274975.936761089, 145014.588542186)"
SMPI1,SMPI,209.82820713482954,4170.485125692281,39.48266,-122.97138,2022,Central CA Foothills,"c(-255377.329846317, 166981.532397961)"
SMPI2,SMPI,56.29317171568653,4205.166002972507,39.48569,-122.97099,2022,Central CA Foothills,"c(-255333.272701126, 167317.014839448)"
SMPI3,SMPI,245.03109410920064,4161.147125065711,39.48819,-122.97465,2022,Central CA Foothills,"c(-255639.003071119, 167604.544487986)"
SMPI4,SMPI,176.84370074051614,3816.6597967385183,39.49078,-122.97706,2022,Central CA Foothills,"c(-255837.0126859, 167898.707429801)"
TFSP1,TFSP,166.08188315238334,181.48432573866228,38.22456,-122.52709,2022,Central CA Foothills,"c(-220929.174276158, 26088.690568923)"
TFSP2,TFSP,266.41800627969417,280.1219627903246,38.22723,-122.52161,2022,Central CA Foothills,"c(-220442.308703357, 26372.6396298963)"
TFSP3,TFSP,153.4910107111592,225.23969966777415,38.21192,-122.54002,2022,Central CA Foothills,"c(-222096.941465763, 24714.2778091095)"
TFSP4,TFSP,263.3785929769485,13.130820633383042,38.222,-122.52354,2022,Central CA Foothills,"c(-220626.465108203, 25795.9427279271)"
THUR1,THUR,50.2958724061793,282.64817593542466,38.90108,-122.70581,2022,Central CA Foothills,"c(-234403.634681132, 101689.915598522)"
THUR2,THUR,124.80537218972272,907.4050089468976,38.89142,-122.70096,2022,Central CA Foothills,"c(-234014.178156235, 100604.673542242)"
THUR3,THUR,41.99787164397817,40.584572054187305,38.90216,-122.70885,2022,Central CA Foothills,"c(-234663.488178325, 101817.427383904)"
THUR4,THUR,338.9789161549066,1058.6905486627975,38.89335,-122.70305,2022,Central CA Foothills,"c(-234189.093835945, 100824.264513216)"
UNAP1,UNAP,90.84705753101426,27.994768442659876,38.61,-122.60055,2021,Central CA Foothills,"c(-226174.677645994, 69092.3848295175)"
UNAP2,UNAP,144.43462917960804,124.81469413693898,38.60911,-122.59651,2021,Central CA Foothills,"c(-225826.108292296, 68983.8613551543)"
UNAP3,UNAP,141.1516047542563,141.11721010199506,38.60704,-122.5987,2021,Central CA Foothills,"c(-226022.837493178, 68759.0700918287)"
UNAP4,UNAP,63.18240652276032,145.33307211114717,38.61134,-122.59669,2021,Central CA Foothills,"c(-225834.971186629, 69232.0785389827)"
UNAV1,UNAV,160.28235852129623,260.9204882889841,39.120989,-123.528897,2021,Central CA Foothills,"c(-304768.823653381, 128459.031086661)"
UNAV2,UNAV,46.54919519104537,302.3363045773013,39.123694,-123.527792,2021,Central CA Foothills,"c(-304662.251878486, 128755.904568752)"
UNAV3,UNAV,172.67936851345098,262.59926053980615,39.12105,-123.519995,2021,Central CA Foothills,"c(-304000.1155214, 128437.225903989)"
UNAV4,UNAV,84.50236499633549,197.44437324483934,39.118624,-123.520882,2021,Central CA Foothills,"c(-304086.695703027, 128170.630907818)"
USRO1,USRO,9.38183661506393,909.7864984169154,38.49342,-122.58576,2021,Central CA Foothills,"c(-225242.074767643, 56103.1062791687)"
USRO2,USRO,251.88044185178802,386.382587497339,38.49189,-122.59279,2021,Central CA Foothills,"c(-225858.946725306, 55949.8188264021)"
USRO3,USRO,80.5555630524185,690.8686733897156,38.49717,-122.58911,2021,Central CA Foothills,"c(-225522.43396177, 56527.7658571578)"
USRO4,USRO,174.53342034637166,843.876434675272,38.49078,-122.58749,2021,Central CA Foothills,"c(-225400.743467083, 55813.8636683244)"
WOYU1,WOYU,59.851901226520006,1130.8394222745712,39.28788,-121.19624,2022,Central CA Foothills,"c(-103098.888002575, 141984.461018985)"
WOYU4,WOYU,45.85272182950526,1723.464808222709,39.29343,-121.19591,2022,Central CA Foothills,"c(-103062.668351043, 142600.835081384)"
CLFE1,CLFE,6.609104189464731,67.43208428007493,39.08687,-121.58838,2022,Central Valley,"c(-137267.261827292, 120144.308305187)"
CLFE2,CLFE,62.62602259950479,0,39.0837,-121.59575,2022,Central Valley,"c(-137910.044416162, 119802.735308853)"
CLFE3,CLFE,101.73575588623862,0,39.08389,-121.59189,2022,Central Valley,"c(-137576.127164747, 119818.241179402)"
CLFE4,CLFE,174.62487600362215,5.36390088019662,39.08868,-121.59824,2022,Central Valley,"c(-138115.888219253, 120359.765421441)"
LLAG1,LLAG,244.53377241686417,1007.8994109326823,38.29081,-121.21675,2022,Central Valley,"c(-106288.728276961, 31190.8124959716)"
LLAG2,LLAG,15.134999291138097,1287.6919287566388,38.28855,-121.21848,2022,Central Valley,"c(-106443.072175385, 30941.5435299911)"
LLAG3,LLAG,298.6677392515293,1359.8222011569233,38.28767,-121.22624,2022,Central Valley,"c(-107122.192029643, 30852.4674161696)"
LLAG4,LLAG,343.75487009652386,886.6582155315255,38.29471,-121.22186,2022,Central Valley,"c(-106729.498547332, 31630.0565984729)"
LLDR1,LLDR,94.46180620954706,1063.9360353368284,38.27502,-121.1322,2022,Central Valley,"c(-98924.2207577579, 29344.1621860377)"
LLDR2,LLDR,21.44863847878492,1512.5111339732427,38.27783,-121.12739,2022,Central Valley,"c(-98500.259920438, 29651.5032420391)"
LLDR3,LLDR,3.910122044047149,666.2058765562261,38.2719,-121.13691,2022,Central Valley,"c(-99339.8890141639, 29002.2795063546)"
LLDR4,LLDR,12.076228810723107,1088.7389342126903,38.27762,-121.1323,2022,Central Valley,"c(-98929.5059169215, 29633.2727347626)"
TRSC1,TRSC,25.24735668401444,1.1667663953823786,38.44149,-121.65701,2021,Central Valley,"c(-144451.343393865, 48521.114415931)"
