Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	10560	2112	1	0	6500	0	6500
0	1	0	12585	2105	0.996686	0	6500	0	6500
0	2	0	14107	2089	0.98911	0	6500	0	6500
0	3	0	15168	2058	0.974432	0	6500	0	6500
0	4	0	16198	2035	0.963542	0	6500	0	6500
0	5	0	16554	2010	0.951705	0	6500	0	6500
0	6	0	16790	1988	0.941288	0	6500	0	6500
0	7	0	16759	1972	0.933712	0	6500	0	6500
0	8	0	16745	1954	0.925189	0	6500	0	6500
0	9	0	16884	1930	0.913826	0	6500	0	6500
0	10	0	16839	1912	0.905303	0	6500	0	6500
0	11	0	16703	1890	0.894886	0	6500	0	6500
0	12	0	16609	1873	0.886837	0	6500	0	6500
0	13	0	16396	1851	0.87642	0	6500	0	6500
0	14	0	16201	1834	0.868371	0	6500	0	6500
0	15	0	16168	1820	0.861742	0	6500	0	6500
0	16	0	15977	1804	0.854167	0	6500	0	6500
0	17	0	15567	1792	0.848485	0	6500	0	6500
0	18	0	15725	1775	0.840436	0	6500	0	6500
0	19	0	15739	1761	0.833807	0	6500	0	6500
0	20	0	15474	1746	0.826705	0	6500	0	6500
0	21	0	15150	1725	0.816761	0	6500	0	6500
0	22	0	15298	1712	0.810606	0	6500	0	6500
0	23	0	15239	1702	0.805871	0	6500	0	6500
0	24	0	15091	1690	0.800189	0	6500	0	6500
0	25	0	14960	1675	0.793087	0	6500	0	6500
0	26	0	14677	1657	0.784564	0	6500	0	6500
0	27	0	14401	1642	0.777462	0	6500	0	6500
0	28	0	14360	1621	0.767519	0	6500	0	6500
0	29	0	14108	1611	0.762784	0	6500	0	6500
0	30	0	13933	1597	0.756155	0	6500	0	6500
0	31	0	14076	1579	0.747633	0	6500	0	6500
0	32	0	13893	1566	0.741477	0	6500	0	6500
0	33	0	13672	1547	0.732481	0	6500	0	6500
0	34	0	13408	1535	0.726799	0	6500	0	6500
0	35	0	13356	1525	0.722064	0	6500	0	6500
0	36	0	13485	1512	0.715909	0	6500	0	6500
0	37	0	13325	1502	0.711174	0	6500	0	6500
0	38	0	13351	1486	0.703598	0	6500	0	6500
0	39	0	12930	1474	0.697917	0	6500	0	6500
0	40	0	12870	1464	0.693182	0	6500	0	6500
0	41	0	12947	1454	0.688447	0	6500	0	6500
0	42	0	12791	1438	0.680871	0	6500	0	6500
0	43	0	12758	1428	0.676136	0	6500	0	6500
0	44	0	12693	1413	0.669034	0	6500	0	6500
0	45	0	12219	1398	0.661932	0	6500	0	6500
0	46	0	11977	1384	0.655303	0	6500	0	6500
0	47	0	11927	1372	0.649621	0	6500	0	6500
0	48	0	11794	1359	0.643466	0	6500	0	6500
0	49	0	11815	1345	0.636837	0	6500	0	6500
0	50	0	11610	1338	0.633523	0	6500	0	6500
1	0	0	10560	2112	1	0	6500	0	6500
1	1	0	12701	2101	0.994792	0	6500	0	6500
1	2	0	14314	2075	0.982481	0	6500	0	6500
1	3	0	15440	2052	0.971591	0	6500	0	6500
1	4	0	16077	2023	0.95786	0	6500	0	6500
1	5	0	16288	2001	0.947443	0	6500	0	6500
1	6	0	16356	1971	0.933239	0	6500	0	6500
1	7	0	16488	1948	0.922348	0	6500	0	6500
1	8	0	16445	1924	0.910985	0	6500	0	6500
1	9	0	16701	1912	0.905303	0	6500	0	6500
1	10	0	16642	1890	0.894886	0	6500	0	6500
1	11	0	16246	1867	0.883996	0	6500	0	6500
1	12	0	16419	1849	0.875473	0	6500	0	6500
1	13	0	16114	1837	0.869792	0	6500	0	6500
1	14	0	16022	1822	0.862689	0	6500	0	6500
1	15	0	15980	1801	0.852746	0	6500	0	6500
1	16	0	15770	1780	0.842803	0	6500	0	6500
1	17	0	15647	1761	0.833807	0	6500	0	6500
1	18	0	15356	1741	0.824337	0	6500	0	6500
1	19	0	15251	1721	0.814867	0	6500	0	6500
1	20	0	15140	1709	0.809186	0	6500	0	6500
1	21	0	14982	1687	0.798769	0	6500	0	6500
1	22	0	14974	1674	0.792614	0	6500	0	6500
1	23	0	14833	1663	0.787405	0	6500	0	6500
1	24	0	14563	1651	0.781723	0	6500	0	6500
1	25	0	14243	1636	0.774621	0	6500	0	6500
1	26	0	14235	1622	0.767992	0	6500	0	6500
1	27	0	14176	1607	0.76089	0	6500	0	6500
1	28	0	14096	1593	0.754261	0	6500	0	6500
1	29	0	13963	1588	0.751894	0	6500	0	6500
1	30	0	13715	1577	0.746686	0	6500	0	6500
1	31	0	13514	1555	0.736269	0	6500	0	6500
1	32	0	13232	1541	0.72964	0	6500	0	6500
1	33	0	13398	1535	0.726799	0	6500	0	6500
1	34	0	13075	1521	0.72017	0	6500	0	6500
1	35	0	12945	1498	0.70928	0	6500	0	6500
1	36	0	13101	1486	0.703598	0	6500	0	6500
1	37	0	12985	1474	0.697917	0	6500	0	6500
1	38	0	12691	1458	0.690341	0	6500	0	6500
1	39	0	12677	1440	0.681818	0	6500	0	6500
1	40	0	12478	1426	0.675189	0	6500	0	6500
1	41	0	12313	1413	0.669034	0	6500	0	6500
1	42	0	12200	1402	0.663826	0	6500	0	6500
1	43	0	12133	1386	0.65625	0	6500	0	6500
1	44	0	12098	1374	0.650568	0	6500	0	6500
1	45	0	11964	1353	0.640625	0	6500	0	6500
1	46	0	11825	1340	0.63447	0	6500	0	6500
1	47	0	11880	1328	0.628788	0	6500	0	6500
1	48	0	11733	1321	0.625473	0	6500	0	6500
1	49	0	11566	1310	0.620265	0	6500	0	6500
1	50	0	11318	1304	0.617424	0	6500	0	6500
