Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NJuvs	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	28	0	28871	20376	8495	39371	4183	0.630825	0	1290	90	2570
0	29	0	28840	20331	8509	39571	4246	0.640326	0	1290	90	2570
0	30	0	29319	20782	8537	39997	4205	0.634143	0	1290	90	2570
0	31	0	29396	20794	8602	40611	4289	0.64681	10	1290	90	2570
0	32	0	29692	21103	8589	41233	4318	0.651184	10	1290	90	2570
0	33	0	29303	20759	8544	40336	4285	0.646207	10	1290	90	2570
0	34	0	29643	21035	8608	40656	4283	0.645906	0	1290	90	2570
0	35	0	29663	21061	8602	40563	4272	0.644247	40	1290	90	2570
0	36	0	29648	20962	8686	40251	4263	0.642889	0	1290	90	2570
0	37	0	29360	20710	8650	39753	4220	0.636405	0	1290	90	2570
0	38	0	29651	20989	8662	39930	4273	0.644397	0	1290	90	2570
0	39	0	29649	20879	8770	39989	4256	0.641834	40	1290	90	2570
0	40	0	29473	20782	8691	39419	4221	0.636556	40	1290	100	2570
0	41	0	29396	20616	8780	39256	4187	0.631428	40	1290	100	2570
0	42	0	29382	20560	8822	39630	4189	0.63173	40	1290	100	2570
0	43	0	29350	20688	8662	39433	4192	0.632182	40	1290	100	2570
0	44	0	29357	20684	8673	39742	4256	0.641834	40	1290	100	2570
0	45	0	29034	20414	8620	39426	4265	0.643191	40	1290	100	2570
0	46	0	29301	20648	8653	39861	4232	0.638214	0	1290	100	2570
0	47	0	29092	20556	8536	39402	4255	0.641683	0	1290	100	2570
0	48	0	29073	20413	8660	38968	4255	0.641683	0	1290	100	2570
0	49	0	29491	20796	8695	39794	4249	0.640778	0	1290	100	2570
0	50	0	29392	20632	8760	0	4270	0.643945	40	1290	90	2570
1	0	0	6750	4500	2250	10557	1703	0.256824	0	1290	0	2570
1	1	0	10171	7619	2552	13571	1550	0.233751	0	1290	0	2570
1	2	0	12168	8714	3454	14436	1645	0.248077	0	1290	0	2570
1	3	0	13776	9429	4347	15996	1869	0.281858	0	1290	0	2570
1	4	0	15312	10314	4998	17734	2099	0.316544	0	1290	0	2570
1	5	0	16786	11134	5652	19721	2358	0.355602	0	1290	10	2570
1	6	0	18217	12048	6169	21970	2555	0.385311	0	1290	10	2570
1	7	0	19531	12981	6550	24429	2819	0.425124	0	1290	10	2570
1	8	0	21224	14250	6974	27071	3060	0.461469	0	1290	10	2570
1	9	0	22323	15162	7161	29176	3299	0.497512	0	1290	10	2570
1	10	0	23580	16250	7330	31022	3461	0.521942	0	1290	10	2570
1	11	0	24276	16791	7485	32986	3623	0.546373	0	1290	10	2570
1	12	0	25273	17713	7560	33926	3729	0.562359	0	1290	10	2570
1	13	0	26087	18272	7815	35154	3842	0.5794	0	1290	0	2570
1	14	0	26686	18698	7988	36554	3941	0.59433	0	1290	0	2570
1	15	0	27203	19205	7998	37274	4048	0.610466	0	1290	0	2570
1	16	0	27718	19643	8075	38181	4102	0.61861	0	1290	0	2540
1	17	0	27862	19848	8014	38857	4172	0.629166	0	1290	0	2540
1	18	0	28305	20158	8147	38522	4153	0.626301	0	1290	0	2540
1	19	0	28181	19988	8193	38628	4177	0.62992	0	1290	0	2130
1	20	0	28378	20170	8208	39754	4183	0.630825	10	1290	0	2130
1	21	0	28804	20575	8229	39927	4247	0.640477	10	1290	0	2130
1	22	0	28525	20168	8357	39413	4257	0.641985	0	1290	0	2130
1	23	0	28817	20511	8306	40178	4245	0.640175	0	1290	0	2130
1	24	0	29022	20652	8370	40374	4295	0.647715	0	1290	0	2130
1	25	0	29654	21186	8468	41430	4343	0.654954	0	1290	0	2130
1	26	0	29683	21404	8279	40811	4326	0.65239	0	1290	0	2130
1	27	0	29443	20835	8608	40063	4297	0.648017	0	1290	0	2130
1	28	0	29436	20941	8495	40458	4271	0.644096	0	1290	0	2130
1	29	0	29489	21045	8444	40324	4310	0.649977	0	1290	0	2130
1	30	0	29553	20986	8567	40968	4330	0.652994	0	1290	0	2130
1	31	0	29725	21007	8718	41644	4345	0.655256	0	1290	0	2130
1	32	0	29820	21096	8724	40985	4350	0.65601	0	1290	0	2130
1	33	0	29832	21235	8597	41191	4337	0.654049	0	1290	0	2130
1	34	0	29752	21256	8496	40688	4330	0.652994	0	1290	0	2100
1	35	0	29749	21211	8538	41688	4393	0.662494	0	1290	0	1910
1	36	0	29880	21306	8574	40885	4343	0.654954	0	1290	0	1910
1	37	0	29785	21117	8668	40917	4401	0.663701	0	1290	0	1900
1	38	0	29999	21314	8685	41939	4441	0.669733	0	1290	0	1900
1	39	0	30098	21398	8700	41695	4376	0.659931	0	1290	0	1910
1	40	0	29937	21332	8605	41484	4355	0.656764	0	1290	0	1910
1	41	0	29998	21285	8713	41442	4365	0.658272	0	1290	0	1910
1	42	0	29960	21211	8749	40729	4305	0.649223	0	1290	0	1910
1	43	0	29894	21254	8640	41211	4323	0.651938	0	1290	0	1910
1	44	0	29737	21125	8612	40525	4301	0.64862	0	1290	0	1910
1	45	0	29707	21068	8639	40479	4345	0.655256	0	1290	0	1910
1	46	0	29702	20946	8756	40421	4303	0.648922	0	1290	0	1910
1	47	0	29843	21060	8783	40824	4332	0.653295	0	1290	0	1910
1	48	0	29660	20992	8668	41351	4356	0.656914	0	1290	0	1910
1	49	0	29908	21227	8681	41360	4405	0.664304	0	1290	0	1910
1	50	0	29986	21452	8534	0	4416	0.665963	0	1290	0	1910
