Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NJuvs	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	6750	4500	2250	10360	1660	0.250339	0	1290	90	2570
0	1	0	9979	7472	2507	12968	1512	0.22802	0	1290	90	2570
0	2	0	11817	8450	3367	13634	1587	0.23933	0	1290	90	2570
0	3	0	13148	8938	4210	14780	1762	0.265722	0	1290	90	2570
0	4	0	14438	9493	4945	16224	1958	0.29528	0	1290	90	2570
0	5	0	15871	10351	5520	18502	2185	0.329513	10	1290	90	2570
0	6	0	17393	11423	5970	21023	2451	0.369628	10	1290	90	2570
0	7	0	19008	12589	6419	23662	2699	0.407028	10	1290	90	2570
0	8	0	20232	13553	6679	25213	2907	0.438395	0	1290	100	2570
0	9	0	21672	14620	7052	27821	3105	0.468255	0	1290	100	2570
0	10	0	22410	15300	7110	29004	3270	0.493138	0	1290	90	2570
0	11	0	23487	16159	7328	30866	3450	0.520284	0	1290	90	2570
0	12	0	24511	17021	7490	32948	3621	0.546071	0	1290	90	2570
0	13	0	25416	17790	7626	33430	3695	0.557231	0	1290	90	2570
0	14	0	25830	17968	7862	34828	3796	0.572463	0	1290	90	2570
0	15	0	26481	18557	7924	35529	3857	0.581662	0	1290	90	2570
0	16	0	26818	18774	8044	36411	3914	0.590258	0	1290	90	2570
0	17	0	26981	19004	7977	37240	3948	0.595385	0	1290	90	2570
0	18	0	27142	19205	7937	37115	3989	0.601568	0	1290	90	2570
0	19	0	27490	19464	8026	37763	4056	0.611672	0	1290	90	2570
0	20	0	27781	19649	8132	38040	4083	0.615744	0	1290	90	2570
0	21	0	28265	19982	8283	37907	4072	0.614085	0	1290	90	2570
0	22	0	28272	19947	8325	37955	4116	0.620721	0	1290	90	2570
0	23	0	28344	20057	8287	38818	4144	0.624943	0	1290	90	2570
0	24	0	28695	20246	8449	38921	4143	0.624793	0	1290	90	2570
0	25	0	28773	20152	8621	39622	4204	0.633992	0	1290	90	2570
0	26	0	28925	20502	8423	39782	4223	0.636857	0	1290	90	2570
0	27	0	29157	20708	8449	39453	4210	0.634897	0	1290	90	2570
